Name,birth_year,death_year,religion_name,ceda_name,person_ceda_first_year,person_ceda_last_year
Elliott Cresson,,,Quaker,APS,1839,1853
Elliott Cresson,,,Quaker,HOD,,
Elliott Cresson,,,Quaker,HOD,,
W D Crewdson,,,Quaker,APS,1838,1841
Ann Cropper,,,Quaker,APS,1861,1868
James Cropper,,,Quaker,APS,1866,1868
James Cropper,,,Quaker,HOD,,
John Cropper,,,Quaker,APS,1866,1868
Joseph Crosfield,,,Quaker,APS,1861,1868
William Crosfield,,,Quaker,APS,1861,1865
Jeremiah Cross,,,Quaker,APS,1861,1867
Martha Cross,,,Quaker,APS,1860,1861
Edward A Crouch,,,Quaker,APS,1857,1861
Abraham Crowley,,,Quaker,APS,1851,1856
Frederick Crowley,,,Quaker,APS,1865,1868
J Cudworth,,,Quaker,APS,1860,1864
Mary Cudworth,,,Quaker,APS,1861,1868
William Cudworth,,,Quaker,APS,1861,1868
Lucy Darby,,,Quaker,APS,1851,1856
Richard Day,,,Quaker,APS,1851,1852
William Dent,,,Quaker,APS,1851,1856
Barnard Dickinson,,,Quaker,APS,1851,1854
Elizabeth G Dimsdale,,,Quaker,APS,1867,1868
J Doubleday,,,Quaker,APS,1866,1867
R Doubleday,,,Quaker,APS,1866,1867
Joseph Eaton,,,Quaker,APS,1839,1859
Thomas Emmott,,,Quaker,APS,1866,1868
Mary Exton,,,Quaker,APS,1852,1861
William Exton,,,Quaker,APS,1851,1852
Abraham Fisher,,,Quaker,APS,1859,1866
Rachel Fowler,,,Quaker,APS,1851,1868
Thomas Fowler,,,Quaker,APS,1838,1852
Alfred L Fox,,,Quaker,APS,1867,1868
Francis E Fox,,,Quaker,APS,1838,1868
Frederick H Fox,,,Quaker,APS,1862,1868
J G Fox,,,Quaker,APS,1858,1859
R Barclay Fox,,,Quaker,APS,1851,1858
Philip Frith,,,Quaker,APS,1839,1841
Frederick Fryer,,,Quaker,APS,1861,1868
John Gayner,,,Quaker,APS,1865,1866
Deborah Gibson,,,Quaker,APS,1866,1867
E Gilkes,,,Quaker,APS,1861,1862
Charles Gillett,,,Quaker,APS,1860,1868
Jonathan Gillett,,,Quaker,APS,1860,1868
Burwood Godlee,,,Quaker,APS,1839,1868
Burwood Godlee,,,Quaker,HOD,,
Alexander Grace,,,Quaker,APS,1862,1868
Anna Gurney,,,Quaker,APS,1851,1858
Anna Gurney,,,Quaker,HOD,,
Anna Gurney,,,Quaker,HOD,,
Edmund Gurney,,,Quaker,APS,1851,1856
Henry E Gurney,,,Quaker,APS,1855,1867
John Gurney,,,Quaker,APS,1839,1856
Samuel Gurney,,,Quaker,APS,1838,1868
Samuel Gurney,,,Quaker,HOD,,
Samuel Gurney,,,Quaker,HOD,,
Daniel P Hack,,,Quaker,APS,1851,1868
John Barton Hack,,,Quaker,APS,1839,1852
John Barton Hack,,,Quaker,HOD,,
Cornelius Hanbury,,,Quaker,APS,1838,1868
Cornelius x Jun Hanbury,,,Quaker,APS,1866,1868
Daniel Bell Hanbury,,,Quaker,APS,1851,1868
Samuel Hare,,,Quaker,APS,1861,1867
Charles L Harford,,,Quaker,APS,1838,1856
John Harford,,,Quaker,APS,1838,1852
Summers Harford,,,Quaker,APS,1838,1856
William Hargreaves,,,Quaker,APS,1860,1868
John Harlock,,,Quaker,APS,1860,1868
Theodore Harris,,,Quaker,APS,1862,1868
Gray Hester,,,Quaker,APS,1861,1868
M A Hewitson,,,Quaker,APS,1867,1868
Henry Hipsley,,,Quaker,APS,1862,1868
John Hodgkin,,,Quaker,APS,1851,1868
John Hodgkin,,,Quaker,HOD,,
John Hodgkin,,,Quaker,HOD,,
J Holdsworth,,,Quaker,APS,1860,1862
Richard Holdsworth,,,Quaker,APS,1864,1868
G B Holmes,,,Quaker,APS,1840,1841
S Horman-Fisher,,,Quaker,APS,1857,1858
Robert Horne,,,Quaker,APS,1860,1868
John Horniman,,,Quaker,APS,1860,1868
Charles Horsnaill,,,Quaker,APS,1860,1867
W C Horsnaill,,,Quaker,APS,1860,1862
Sarah Hotham,,,Quaker,APS,1860,1867
Luke Howard,,,Quaker,APS,1851,1853
Luke Howard,,,Quaker,HOD,,
Luke Howard,,,Quaker,HOD,,
William Howitt,,,Quaker,APS,1839,1852
William Howitt,,,Quaker,HOD,,
Rachel Hubbert,,,Quaker,APS,1866,1867
Joseph Hudson,,,Quaker,APS,1861,1862
John Huntley,,,Quaker,APS,1864,1867
Joseph Huntley,,,Quaker,APS,1860,1868
Martha Hutchinson,,,Quaker,APS,1839,1841
R Impey,,,Quaker,APS,1861,1864
Edward James,,,Quaker,APS,1860,1868
A Janson,,,Quaker,APS,1861,1862
William Janson,,,Quaker,APS,1852,1868
Andrew Johnston,,,Quaker,APS,1838,1867
